id,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,cycle
7,0.0018,0.0002,100,518.67,642.61,1587.18,1399.82,14.62,21.61,554.58,2387.96,9062.5,1.3,47.19,521.87,2388.03,8144.16,8.4147,0.03,391,2388,100,39.04,23.3756,1
7,-0.0004,0,100,518.67,642.09,1578.49,1400.3,14.62,21.61,554.06,2388.03,9059.66,1.3,47.22,522.48,2388,8138.54,8.3694,0.03,391,2388,100,39.19,23.4363,2
7,-0.0021,-0.0003,100,518.67,642.04,1577.27,1395.02,14.62,21.61,554.63,2388.02,9054.92,1.3,46.94,522.79,2388.02,8137.55,8.3914,0.03,393,2388,100,38.99,23.3413,3
7,-0.0029,-0.0001,100,518.67,642.12,1575.94,1403.27,14.62,21.61,555.16,2387.99,9050.36,1.3,47.35,522.2,2388,8133.38,8.3844,0.03,392,2388,100,39.07,23.3753,4
7,0.003,-0.0001,100,518.67,642.07,1584.32,1402.06,14.62,21.6,554.34,2388.05,9058.72,1.3,47.23,522.08,2388.01,8145.54,8.4168,0.03,393,2388,100,39.02,23.4244,5
7,-0.0007,-0.0001,100,518.67,641.65,1585.65,1396.34,14.62,21.61,554.08,2388.05,9052.01,1.3,47.07,522.5,2387.96,8136.26,8.4226,0.03,391,2388,100,39.04,23.3983,6
7,0.0002,0.0002,100,518.67,642.24,1578.19,1392.9,14.62,21.61,554.83,2388.01,9054.57,1.3,47.27,522.09,2388.07,8136.81,8.3876,0.03,390,2388,100,39.28,23.3838,7
7,-0.0002,-0.0001,100,518.67,642.26,1581.56,1401.18,14.62,21.61,554.62,2388,9062.13,1.3,47.28,522.45,2388.03,8139.34,8.3954,0.03,391,2388,100,38.99,23.3395,8
7,0.0043,0.0001,100,518.67,642.24,1579.13,1394.7,14.62,21.61,553.68,2388.08,9061.49,1.3,47.2,522.56,2388.03,8139.07,8.3963,0.03,393,2388,100,38.95,23.3935,9
7,0.0009,-0.0003,100,518.67,642.16,1579.17,1401.72,14.62,21.61,554.29,2388.02,9058.9,1.3,47.04,522.15,2388.03,8138.71,8.4163,0.03,392,2388,100,38.97,23.4375,10
