id,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,cycle
8,-0.003,0.0002,100,518.67,642.32,1594.51,1401.99,14.62,21.61,553.84,2388.08,9052.06,1.3,47.34,521.79,2388.08,8131.22,8.4291,0.03,392,2388,100,38.99,23.3352,1
8,0.0003,-0.0001,100,518.67,642.63,1595.32,1401.79,14.62,21.61,553.61,2388.08,9043.13,1.3,47.44,521.56,2388.06,8131.97,8.3798,0.03,392,2388,100,38.76,23.3736,2
8,-0.0003,-0.0001,100,518.67,641.96,1578.81,1408.14,14.62,21.61,553.68,2388.12,9044.02,1.3,47.46,521.63,2388.12,8129.83,8.4029,0.03,392,2388,100,38.87,23.257,3
8,0.0032,0.0002,100,518.67,643.05,1580.84,1404.6,14.62,21.61,554.05,2388.12,9048.05,1.3,47.39,521.9,2388.06,8128.69,8.4471,0.03,393,2388,100,39.05,23.3212,4
8,0.0008,0.0005,100,518.67,642.02,1588.46,1398.11,14.62,21.61,553.55,2388.09,9044.03,1.3,47.51,522.32,2388.08,8131.91,8.4378,0.03,393,2388,100,38.95,23.4231,5
8,-0.0044,0.0004,100,518.67,642.53,1589.25,1411.97,14.62,21.61,553.66,2388.09,9052.32,1.3,47.18,522.03,2388.13,8124.4,8.4141,0.03,392,2388,100,38.91,23.3224,6
8,-0.0007,-0.0004,100,518.67,642.2,1587.93,1405.51,14.62,21.61,554.08,2388.1,9043.59,1.3,47.36,521.45,2388.05,8129.95,8.4193,0.03,391,2388,100,38.8,23.2998,7
8,-0.0011,-0.0001,100,518.67,642.49,1591.42,1407.2,14.62,21.61,553.67,2388.1,9049.29,1.3,47.45,522.12,2388.09,8127.17,8.3941,0.03,393,2388,100,38.91,23.2945,8
8,0.0002,0.0002,100,518.67,642.07,1590.66,1396.29,14.62,21.61,553.89,2388.1,9041.27,1.3,47.31,521.98,2388.08,8130.41,8.4033,0.03,393,2388,100,38.93,23.3139,9
8,0.0005,0,100,518.67,642.65,1583.44,1408.37,14.62,21.61,553.6,2388.08,9051.73,1.3,47.45,521.48,2388.07,8126.69,8.4331,0.03,392,2388,100,38.87,23.3507,10
8,-0.0002,0.0001,100,518.67,642.4,1587.46,1400.73,14.62,21.61,553.86,2388.11,9044.41,1.3,47.27,521.7,2388.1,8132.07,8.445,0.03,393,2388,100,38.84,23.3683,11
8,0.0023,-0.0001,100,518.67,642.57,1583.19,1415.41,14.62,21.61,553.06,2388.05,9050.26,1.3,47.45,521.49,2388.11,8128.71,8.4274,0.03,392,2388,100,38.86,23.3459,12
8,0.0011,-0.0003,100,518.67,642.68,1586.33,1403.86,14.62,21.61,554.01,2388.11,9042.84,1.3,47.21,521.68,2388.08,8128.03,8.4264,0.03,392,2388,100,39.07,23.2721,13
8,0.0047,-0.0003,100,518.67,642.68,1584.87,1404.05,14.62,21.61,553.48,2388.14,9050.33,1.3,47.31,522.06,2388.1,8129.47,8.4703,0.03,394,2388,100,38.82,23.3398,14
8,-0.0009,0.0002,100,518.67,642.42,1585.56,1400.7,14.62,21.61,553.9,2388.08,9049.04,1.3,47.44,521.92,2388.08,8132.78,8.4561,0.03,393,2388,100,38.8,23.3534,15
